date,transaction amount,inflow or outflow,bank account name,transaction name,refrence ID,categroy
2025-02-02,122197.7,inflow,Axis - Sales Collection Account,Bulk Buyer Payment,FOOD-35A1D23C,client fees
2026-01-03,26492.96,outflow,HDFC - Operations Account,Factory Power Charges,FOOD-9BCD3F35,operational cost
2025-02-05,297419.45,inflow,SBI - Payroll Account,Distributor Settlement,FOOD-7692756C,client fees
2025-06-17,51236.44,outflow,HDFC - Operations Account,Rice,FOOD-77870F2B,raw materials
2025-07-12,166714.5,outflow,SBI - Payroll Account,Cocoa Powder,FOOD-3A7EFAC8,raw materials
2025-06-16,175183.6,inflow,Kotak - Vendor Payments,Hotel Supply Invoice,FOOD-C949BD3E,client fees
2025-12-15,86231.03,outflow,Kotak - Vendor Payments,Temporary Labour Wages,FOOD-0B33E212,workforce
2025-08-05,18339.07,outflow,ICICI - Procurement Account,Cold Storage Electricity Bill,FOOD-CFF386C9,operational cost
2025-10-10,26670.07,outflow,SBI - Payroll Account,Factory Worker Payroll,FOOD-95C7330C,workforce
2025-07-03,84391.89,inflow,Axis - Sales Collection Account,Retail Chain Order Payment,FOOD-29077718,client fees
2025-09-12,15068.42,outflow,HDFC - Operations Account,Salt,FOOD-B3001516,raw materials
2025-07-18,90506.9,outflow,Kotak - Vendor Payments,Temporary Labour Wages,FOOD-C0087569,workforce
2025-08-09,140161.96,inflow,Kotak - Vendor Payments,Distributor Settlement,FOOD-5D3D36C5,client fees
2026-01-03,35101.18,outflow,SBI - Payroll Account,Cold Chain Logistics,FOOD-A5335829,operational cost
2025-05-28,60827.58,outflow,SBI - Payroll Account,Factory Power Charges,FOOD-B7ADE958,operational cost
2025-06-16,85029.19,outflow,SBI - Payroll Account,Refrigeration Maintenance,FOOD-30E7EF6E,operational cost
2025-11-26,53415.8,inflow,ICICI - Procurement Account,Bulk Buyer Payment,FOOD-EC526316,client fees
2025-06-28,42314.87,outflow,Kotak - Vendor Payments,Water Treatment Charges,FOOD-AF7DD313,operational cost
2025-04-04,98695.44,outflow,Kotak - Vendor Payments,Overtime Payments,FOOD-18A3F6B9,workforce
2025-03-10,153158.03,inflow,HDFC - Operations Account,Bulk Buyer Payment,FOOD-14F91E70,client fees
2025-10-12,235581.79,inflow,Kotak - Vendor Payments,Distributor Settlement,FOOD-02125538,client fees
2025-02-15,12722.81,outflow,Axis - Sales Collection Account,Cold Chain Logistics,FOOD-48350E1D,operational cost
2026-01-19,62381.46,outflow,ICICI - Procurement Account,Quality Inspection Charges,FOOD-408CAF9E,operational cost
2025-03-10,114077.7,inflow,Kotak - Vendor Payments,Bulk Buyer Payment,FOOD-7B43AB1C,client fees
2026-01-22,13799.22,outflow,Kotak - Vendor Payments,Packaging Film,FOOD-F248006B,raw materials
2025-09-29,84042.44,outflow,Axis - Sales Collection Account,Equipment Maintenance,FOOD-783C5BCE,operational cost
2025-07-10,59159.89,outflow,SBI - Payroll Account,Carton Boxes,FOOD-7C39476D,raw materials
2025-08-26,276296.44,inflow,HDFC - Operations Account,Bulk Buyer Payment,FOOD-4190C145,client fees
2026-01-11,212038.47,inflow,SBI - Payroll Account,Export Order Receipt,FOOD-1AC8E5C5,client fees
2025-08-19,25634.77,inflow,SBI - Payroll Account,Distributor Settlement,FOOD-668C78FF,client fees
2025-12-29,45665.9,outflow,Axis - Sales Collection Account,Cocoa Powder,FOOD-BFC7FE82,raw materials
2025-12-16,61081.8,outflow,ICICI - Procurement Account,Temporary Labour Wages,FOOD-D988034C,workforce
2025-06-18,337266.24,inflow,HDFC - Operations Account,Retail Chain Order Payment,FOOD-8422B29D,client fees
2025-06-24,105544.01,outflow,ICICI - Procurement Account,Line Supervisor Salary,FOOD-2D9C9D57,workforce
2025-03-28,144909.76,inflow,Kotak - Vendor Payments,Distributor Settlement,FOOD-D499E97A,client fees
2025-04-10,43359.58,outflow,Kotak - Vendor Payments,Packaging Film,FOOD-448317CC,raw materials
2025-03-27,10079.4,outflow,ICICI - Procurement Account,Refrigeration Maintenance,FOOD-A07D9CF3,operational cost
2025-09-17,55840.2,outflow,SBI - Payroll Account,Packaging Staff Payroll,FOOD-334BEB32,workforce
2025-07-11,51644.43,outflow,ICICI - Procurement Account,Water Treatment Charges,FOOD-A109F1A4,operational cost
2025-05-31,112644.69,outflow,Axis - Sales Collection Account,Temporary Labour Wages,FOOD-98AC7023,workforce
2025-10-05,151356.6,outflow,HDFC - Operations Account,Packaging Film,FOOD-E1BE5F56,raw materials
2025-07-16,111621.93,inflow,Axis - Sales Collection Account,Distributor Settlement,FOOD-98530A5B,client fees
2025-11-14,17808.22,outflow,Axis - Sales Collection Account,Line Supervisor Salary,FOOD-2DDEDB54,workforce
2025-09-09,26211.45,outflow,Kotak - Vendor Payments,Packaging Film,FOOD-E1C00842,raw materials
2025-08-23,74112.81,outflow,SBI - Payroll Account,Spices Mix,FOOD-B340CEB4,raw materials
2026-01-04,83543.98,outflow,SBI - Payroll Account,Overtime Payments,FOOD-96768457,workforce
2026-02-01,131351.91,outflow,SBI - Payroll Account,Milk Powder,FOOD-38077430,raw materials
2025-05-23,132580.76,inflow,HDFC - Operations Account,Hotel Supply Invoice,FOOD-02729FEF,client fees
2025-11-06,37762.9,outflow,SBI - Payroll Account,Packaging Film,FOOD-3AD61FD4,raw materials
2025-03-12,15379.34,outflow,Kotak - Vendor Payments,Temporary Labour Wages,FOOD-A252FD54,workforce
2025-03-09,268296.53,inflow,Kotak - Vendor Payments,Distributor Settlement,FOOD-773C31E1,client fees
2025-05-03,165726.15,outflow,Kotak - Vendor Payments,Cocoa Powder,FOOD-354767C4,raw materials
2025-05-21,93376.72,outflow,ICICI - Procurement Account,Maize,FOOD-83F73EF1,raw materials
2025-06-20,98046.55,outflow,SBI - Payroll Account,Packaging Staff Payroll,FOOD-147EAD0F,workforce
2025-06-26,54421.93,outflow,HDFC - Operations Account,Factory Worker Payroll,FOOD-D210BFE2,workforce
2025-04-01,65791.05,outflow,SBI - Payroll Account,Temporary Labour Wages,FOOD-50208BF4,workforce
2025-12-18,59261.47,outflow,ICICI - Procurement Account,Preservatives,FOOD-3FA0DBD0,raw materials
2025-12-18,151981.8,inflow,SBI - Payroll Account,Export Order Receipt,FOOD-1AF8596B,client fees
2025-02-17,119073.58,outflow,HDFC - Operations Account,Factory Worker Payroll,FOOD-E00709CF,workforce
2025-06-22,44952.0,outflow,Kotak - Vendor Payments,Cold Chain Logistics,FOOD-1A23740C,operational cost
2025-08-11,105813.36,outflow,HDFC - Operations Account,Temporary Labour Wages,FOOD-FEA856D2,workforce
2026-01-04,126204.1,outflow,ICICI - Procurement Account,Food Additives,FOOD-BD55A95A,raw materials
2025-03-28,82677.13,outflow,Axis - Sales Collection Account,Plant Cleaning & Sanitation,FOOD-C5F51250,operational cost
2025-11-10,19942.74,outflow,HDFC - Operations Account,Plant Cleaning & Sanitation,FOOD-7AD2EC15,operational cost
2025-06-12,72612.12,outflow,ICICI - Procurement Account,Factory Power Charges,FOOD-EBC218DE,operational cost
2025-08-30,331771.5,inflow,SBI - Payroll Account,Hotel Supply Invoice,FOOD-F327EDBD,client fees
2025-08-25,140319.99,inflow,HDFC - Operations Account,Retail Chain Order Payment,FOOD-502D36C8,client fees
2025-08-25,80141.65,outflow,SBI - Payroll Account,Spices Mix,FOOD-6CBF806B,raw materials
2025-02-21,127008.73,outflow,ICICI - Procurement Account,Spices Mix,FOOD-8C663C89,raw materials
2026-01-20,133561.78,outflow,Axis - Sales Collection Account,Bulk Buyer Payment,FOOD-7380CB97,client fees
2025-02-08,54544.8,outflow,Kotak - Vendor Payments,Factory Worker Payroll,FOOD-383C18F1,workforce
2025-04-25,164808.35,outflow,Axis - Sales Collection Account,Rice,FOOD-A87BB3F1,raw materials
2026-01-14,88740.46,outflow,Kotak - Vendor Payments,Cold Chain Logistics,FOOD-86F87FD9,operational cost
2025-06-15,72023.5,outflow,SBI - Payroll Account,Line Supervisor Salary,FOOD-D8D60298,workforce
2025-12-17,24918.11,outflow,SBI - Payroll Account,Overtime Payments,FOOD-E1D490F9,workforce
2025-03-07,114838.36,outflow,Kotak - Vendor Payments,Overtime Payments,FOOD-D063B4C3,workforce
2025-05-05,76365.01,outflow,ICICI - Procurement Account,Food Additives,FOOD-3375E171,raw materials
2026-01-25,105787.47,inflow,SBI - Payroll Account,Hotel Supply Invoice,FOOD-8E873818,client fees
2025-05-27,76474.58,outflow,ICICI - Procurement Account,Carton Boxes,FOOD-B59F1FBA,raw materials
2026-01-05,139740.14,inflow,SBI - Payroll Account,Hotel Supply Invoice,FOOD-82367D93,client fees
2025-06-28,113806.7,outflow,HDFC - Operations Account,Overtime Payments,FOOD-2CEB14C7,workforce
2025-06-08,38094.61,outflow,SBI - Payroll Account,Overtime Payments,FOOD-C05FE221,workforce
2025-07-22,60939.92,outflow,ICICI - Procurement Account,Equipment Maintenance,FOOD-594E5639,operational cost
2025-04-08,82979.77,outflow,Axis - Sales Collection Account,Packaging Staff Payroll,FOOD-C97219C1,workforce
2025-06-18,16549.33,outflow,SBI - Payroll Account,Temporary Labour Wages,FOOD-869E3A60,workforce
2025-05-22,261738.74,inflow,HDFC - Operations Account,Export Order Receipt,FOOD-DDE2E699,client fees
2025-07-18,91983.79,outflow,Kotak - Vendor Payments,Packaging Film,FOOD-6A93DD4B,raw materials
2025-11-06,75591.57,outflow,Axis - Sales Collection Account,Water Treatment Charges,FOOD-754D5862,operational cost
2025-09-14,95770.29,outflow,Kotak - Vendor Payments,Overtime Payments,FOOD-8FDFABA8,workforce
2025-11-03,5504.56,outflow,Kotak - Vendor Payments,Equipment Maintenance,FOOD-B093B557,operational cost
2025-11-29,89743.18,outflow,HDFC - Operations Account,Factory Power Charges,FOOD-6D162E88,operational cost
2025-09-02,142157.32,outflow,HDFC - Operations Account,Plastic Containers,FOOD-D3884140,raw materials
2025-10-25,45557.76,outflow,Axis - Sales Collection Account,Water Treatment Charges,FOOD-0366AD49,operational cost
2026-01-10,80573.98,outflow,Axis - Sales Collection Account,Cold Chain Logistics,FOOD-5407BDCB,operational cost
2025-12-28,17339.75,outflow,HDFC - Operations Account,Factory Worker Payroll,FOOD-CB456322,workforce
2025-11-01,15642.5,outflow,SBI - Payroll Account,Water Treatment Charges,FOOD-A30C5CB1,operational cost
2025-12-01,37900.76,outflow,HDFC - Operations Account,Overtime Payments,FOOD-5E268647,workforce
2025-07-29,288393.32,inflow,HDFC - Operations Account,Hotel Supply Invoice,FOOD-4BE2ABC1,client fees
2025-05-31,158194.65,inflow,SBI - Payroll Account,Retail Chain Order Payment,FOOD-71142553,client fees
2025-04-19,15282.27,outflow,Kotak - Vendor Payments,Packaging Staff Payroll,FOOD-CABD6D8C,workforce
2025-10-01,16121.17,outflow,ICICI - Procurement Account,Overtime Payments,FOOD-9C632D31,workforce
2025-12-12,114171.4,inflow,HDFC - Operations Account,Export Order Receipt,FOOD-0BA216A9,client fees
2025-05-28,30097.99,inflow,Kotak - Vendor Payments,Bulk Buyer Payment,FOOD-25D844FB,client fees
2025-04-01,184629.88,inflow,Kotak - Vendor Payments,Retail Chain Order Payment,FOOD-685854C1,client fees
2025-08-05,68779.16,outflow,HDFC - Operations Account,Packaging Staff Payroll,FOOD-72A543AE,workforce
2025-09-26,176279.89,outflow,HDFC - Operations Account,Wheat Flour,FOOD-E9F242CE,raw materials
2025-03-01,72483.52,inflow,ICICI - Procurement Account,Distributor Settlement,FOOD-BF3A7DC6,client fees
2026-01-30,34830.27,outflow,HDFC - Operations Account,Factory Worker Payroll,FOOD-1EE4DAF8,workforce
2025-02-21,79458.85,outflow,Axis - Sales Collection Account,Quality Inspection Charges,FOOD-C695053B,operational cost
2025-11-16,61875.42,outflow,Axis - Sales Collection Account,Line Supervisor Salary,FOOD-43D26B24,workforce
2025-06-13,17648.61,outflow,Kotak - Vendor Payments,Packaging Staff Payroll,FOOD-DC01DA1A,workforce
2025-12-05,65293.06,outflow,ICICI - Procurement Account,Factory Worker Payroll,FOOD-3192302B,workforce
2025-03-22,13576.06,outflow,Axis - Sales Collection Account,Refrigeration Maintenance,FOOD-CBF45532,operational cost
2025-11-03,52804.19,outflow,HDFC - Operations Account,Rice,FOOD-E2CAB6E8,raw materials
2025-11-24,58678.08,inflow,Axis - Sales Collection Account,Retail Chain Order Payment,FOOD-1DFEA57B,client fees
2025-04-07,70300.72,outflow,Axis - Sales Collection Account,Cold Chain Logistics,FOOD-13504B32,operational cost
2025-02-28,210095.92,inflow,Axis - Sales Collection Account,Retail Chain Order Payment,FOOD-0239EAD0,client fees
2025-11-28,101663.07,outflow,SBI - Payroll Account,Temporary Labour Wages,FOOD-A9E1FFCF,workforce
2026-01-26,114603.25,outflow,Axis - Sales Collection Account,Wheat Flour,FOOD-1F9DFDFB,raw materials
2025-03-22,84638.45,outflow,SBI - Payroll Account,Temporary Labour Wages,FOOD-3EFA7476,workforce
2025-03-15,61431.91,outflow,Axis - Sales Collection Account,Maize,FOOD-5B665049,raw materials
2025-10-01,56168.2,outflow,Axis - Sales Collection Account,Equipment Maintenance,FOOD-24D274C7,operational cost
2025-07-31,82220.2,outflow,SBI - Payroll Account,Factory Power Charges,FOOD-8264BBF1,operational cost
2025-07-19,39397.3,outflow,Axis - Sales Collection Account,Cold Storage Electricity Bill,FOOD-BE2BE5CB,operational cost
2025-06-14,180807.86,inflow,ICICI - Procurement Account,Retail Chain Order Payment,FOOD-9C36159F,client fees
2025-06-03,126569.26,outflow,HDFC - Operations Account,Food Additives,FOOD-E7B0D942,raw materials
2025-09-16,59555.32,inflow,Kotak - Vendor Payments,Retail Chain Order Payment,FOOD-409AE42D,client fees
2025-04-19,142832.54,outflow,Kotak - Vendor Payments,Plastic Containers,FOOD-573A5ED3,raw materials
2025-04-07,34280.0,outflow,HDFC - Operations Account,Rice,FOOD-2743AF53,raw materials
2025-11-09,97942.6,outflow,HDFC - Operations Account,Factory Worker Payroll,FOOD-B20A46C7,workforce
2025-06-10,35776.72,outflow,ICICI - Procurement Account,Carton Boxes,FOOD-184006FB,raw materials
2025-07-04,128583.63,outflow,Axis - Sales Collection Account,Preservatives,FOOD-260E4BF7,raw materials
2025-08-01,313540.0,inflow,Kotak - Vendor Payments,Hotel Supply Invoice,FOOD-6AA697B7,client fees
2025-05-24,20774.62,inflow,ICICI - Procurement Account,Hotel Supply Invoice,FOOD-A8CF476C,client fees
2025-06-12,70997.16,outflow,Axis - Sales Collection Account,Equipment Maintenance,FOOD-5D39123E,operational cost
2026-01-14,39236.17,outflow,HDFC - Operations Account,Factory Worker Payroll,FOOD-01210F58,workforce
2025-06-18,31478.24,outflow,Kotak - Vendor Payments,Refrigeration Maintenance,FOOD-922E15C5,operational cost
2025-12-23,306004.01,inflow,Kotak - Vendor Payments,Hotel Supply Invoice,FOOD-05A394BA,client fees
2025-05-25,38618.3,outflow,ICICI - Procurement Account,Factory Power Charges,FOOD-695C1D10,operational cost
2025-06-18,161767.99,outflow,Kotak - Vendor Payments,Preservatives,FOOD-E7A461C4,raw materials
2025-07-02,123808.97,inflow,SBI - Payroll Account,Distributor Settlement,FOOD-0E19AD23,client fees
2025-04-19,140092.1,outflow,Axis - Sales Collection Account,Packaging Film,FOOD-E0ED1EB0,raw materials
2025-02-03,31371.22,outflow,SBI - Payroll Account,Factory Power Charges,FOOD-A60E2E98,operational cost
2025-05-31,58030.26,outflow,SBI - Payroll Account,Temporary Labour Wages,FOOD-B024DC14,workforce
2025-11-22,173424.6,inflow,HDFC - Operations Account,Export Order Receipt,FOOD-3880C3A1,client fees
2025-02-12,6466.03,outflow,SBI - Payroll Account,Quality Inspection Charges,FOOD-6D9A448D,operational cost
2025-10-01,71405.9,outflow,Axis - Sales Collection Account,Cold Storage Electricity Bill,FOOD-2CBBC332,operational cost
2025-05-09,215537.33,outflow,ICICI - Procurement Account,Distributor Settlement,FOOD-4C830354,client fees
2025-09-07,112783.91,inflow,SBI - Payroll Account,Bulk Buyer Payment,FOOD-DE8E2394,client fees
2025-07-07,159773.53,outflow,HDFC - Operations Account,Food Additives,FOOD-98369EE6,raw materials
2025-05-16,113049.47,inflow,HDFC - Operations Account,Retail Chain Order Payment,FOOD-473B05C8,client fees
2025-09-15,97866.77,outflow,ICICI - Procurement Account,Packaging Staff Payroll,FOOD-FFEAE98E,workforce
2025-12-07,105176.38,outflow,ICICI - Procurement Account,Line Supervisor Salary,FOOD-B59B4775,workforce
2025-02-19,116484.05,outflow,HDFC - Operations Account,Temporary Labour Wages,FOOD-D46935FC,workforce
2025-09-08,95667.65,outflow,SBI - Payroll Account,Overtime Payments,FOOD-CE80CB55,workforce
2025-07-10,46569.29,outflow,Kotak - Vendor Payments,Cold Storage Electricity Bill,FOOD-1AEB4C87,operational cost
2025-10-18,33723.64,outflow,Kotak - Vendor Payments,Factory Worker Payroll,FOOD-BA9C1792,workforce
2026-01-23,227180.54,inflow,Kotak - Vendor Payments,Bulk Buyer Payment,FOOD-80318A9F,client fees
2025-10-22,251133.92,inflow,Axis - Sales Collection Account,Hotel Supply Invoice,FOOD-4475460A,client fees
2025-04-07,138550.55,inflow,SBI - Payroll Account,Hotel Supply Invoice,FOOD-DFA2925F,client fees
2025-04-24,251581.98,inflow,SBI - Payroll Account,Retail Chain Order Payment,FOOD-68390CCE,client fees
2025-11-02,85627.61,outflow,HDFC - Operations Account,Carton Boxes,FOOD-E8E3421F,raw materials
2025-11-22,134661.54,outflow,Axis - Sales Collection Account,Packaging Film,FOOD-5BF94050,raw materials
2025-11-09,66208.51,inflow,HDFC - Operations Account,Export Order Receipt,FOOD-DA7D55A5,client fees
2025-11-06,160710.33,outflow,SBI - Payroll Account,Packaging Film,FOOD-F577F9F3,raw materials
2025-11-22,71200.34,outflow,ICICI - Procurement Account,Quality Inspection Charges,FOOD-8CC13BD0,operational cost
2025-09-13,89200.68,inflow,SBI - Payroll Account,Export Order Receipt,FOOD-C32F9EAA,client fees
2025-03-23,38484.05,outflow,HDFC - Operations Account,Factory Power Charges,FOOD-D98DB5C1,operational cost
2025-07-01,79508.22,outflow,Axis - Sales Collection Account,Maize,FOOD-4F7B3C45,raw materials
2025-06-13,76433.15,outflow,HDFC - Operations Account,Temporary Labour Wages,FOOD-1041CA6D,workforce
2025-12-12,144266.32,outflow,ICICI - Procurement Account,Salt,FOOD-F62F7FCF,raw materials
2025-03-21,70391.04,outflow,Axis - Sales Collection Account,Cold Chain Logistics,FOOD-E2E73EF6,operational cost
2025-12-03,316738.8,inflow,ICICI - Procurement Account,Retail Chain Order Payment,FOOD-B2B09414,client fees
2025-08-20,177037.63,outflow,SBI - Payroll Account,Carton Boxes,FOOD-E95B1D5E,raw materials
2025-03-30,177899.15,outflow,Axis - Sales Collection Account,Sugar,FOOD-20202476,raw materials
2025-04-13,55895.09,outflow,HDFC - Operations Account,Temporary Labour Wages,FOOD-47A54722,workforce
2025-07-12,48694.45,outflow,ICICI - Procurement Account,Line Supervisor Salary,FOOD-B3ACCA48,workforce
2026-01-11,74009.85,outflow,ICICI - Procurement Account,Food Additives,FOOD-E9CBF588,raw materials
2025-12-21,37699.5,inflow,Kotak - Vendor Payments,Retail Chain Order Payment,FOOD-F915A16E,client fees
2025-06-06,90579.02,inflow,Kotak - Vendor Payments,Distributor Settlement,FOOD-605EB692,client fees
2025-05-24,91923.72,outflow,SBI - Payroll Account,Packaging Film,FOOD-BCB83343,raw materials
2025-04-29,195121.06,inflow,Axis - Sales Collection Account,Distributor Settlement,FOOD-9BE10E32,client fees
2025-04-02,12754.68,outflow,HDFC - Operations Account,Edible Oil,FOOD-8755EA2E,raw materials
2025-12-02,118666.9,inflow,HDFC - Operations Account,Bulk Buyer Payment,FOOD-4CE54C52,client fees
2025-08-12,37368.45,outflow,ICICI - Procurement Account,Milk Powder,FOOD-0FAE74BC,raw materials
2025-03-30,73705.18,inflow,ICICI - Procurement Account,Retail Chain Order Payment,FOOD-8FEB1E3A,client fees
2025-12-28,69793.2,outflow,ICICI - Procurement Account,Refrigeration Maintenance,FOOD-46BFDFFB,operational cost
2025-11-29,91264.5,outflow,HDFC - Operations Account,Overtime Payments,FOOD-CEAFCC30,workforce
2025-05-21,10638.33,outflow,Kotak - Vendor Payments,Maize,FOOD-8663543E,raw materials
2026-01-23,25092.92,outflow,Axis - Sales Collection Account,Plastic Containers,FOOD-B6EACFC0,raw materials
2025-10-09,121138.7,inflow,Kotak - Vendor Payments,Retail Chain Order Payment,FOOD-C8FD643F,client fees
2025-03-17,22493.32,outflow,HDFC - Operations Account,Food Additives,FOOD-8D4B26BC,raw materials
2025-11-30,15711.85,outflow,ICICI - Procurement Account,Cold Storage Electricity Bill,FOOD-0E6EA865,operational cost
2025-03-06,40948.3,outflow,SBI - Payroll Account,Cold Storage Electricity Bill,FOOD-EB5FF556,operational cost
2025-07-30,254881.54,inflow,HDFC - Operations Account,Export Order Receipt,FOOD-A541C00C,client fees
2025-04-16,44684.33,outflow,Axis - Sales Collection Account,Milk Powder,FOOD-9975640B,raw materials
2025-09-28,168698.46,outflow,Axis - Sales Collection Account,Salt,FOOD-81D3488A,raw materials
2025-12-11,199798.49,inflow,Kotak - Vendor Payments,Bulk Buyer Payment,FOOD-DE52E77F,client fees
2025-05-06,85188.54,inflow,Axis - Sales Collection Account,Bulk Buyer Payment,FOOD-DB1601A2,client fees
2025-08-29,89629.05,outflow,SBI - Payroll Account,Refrigeration Maintenance,FOOD-B098F1FE,operational cost
2025-09-05,216267.3,inflow,HDFC - Operations Account,Export Order Receipt,FOOD-20ED9DF0,client fees
2025-11-27,119956.58,outflow,ICICI - Procurement Account,Spices Mix,FOOD-6ED81CB1,raw materials
2025-04-16,28371.84,outflow,HDFC - Operations Account,Maize,FOOD-3D9D6A1E,raw materials
2025-07-10,43745.9,outflow,HDFC - Operations Account,Plastic Containers,FOOD-96F5B14D,raw materials
2025-06-13,3202.84,outflow,Kotak - Vendor Payments,Water Treatment Charges,FOOD-621E70C4,operational cost
2025-08-03,89350.17,outflow,HDFC - Operations Account,Line Supervisor Salary,FOOD-C3E43343,workforce
2025-07-11,31542.92,outflow,Axis - Sales Collection Account,Overtime Payments,FOOD-5798DF34,workforce
2025-04-28,17630.54,outflow,SBI - Payroll Account,Cold Storage Electricity Bill,FOOD-2C90E778,operational cost
2025-10-14,114142.36,outflow,Axis - Sales Collection Account,Line Supervisor Salary,FOOD-93F65910,workforce
2025-09-24,54267.93,outflow,SBI - Payroll Account,Cold Storage Electricity Bill,FOOD-6CE2B703,operational cost
2025-05-23,53214.81,outflow,ICICI - Procurement Account,Line Supervisor Salary,FOOD-13DE38FA,workforce
2025-11-02,47452.87,outflow,Axis - Sales Collection Account,Packaging Film,FOOD-A291C681,raw materials
2026-01-21,116380.21,outflow,HDFC - Operations Account,Factory Worker Payroll,FOOD-BEB608D9,workforce
2026-02-02,148219.04,outflow,Kotak - Vendor Payments,Packaging Film,FOOD-FD593E1F,raw materials
2025-12-07,115976.17,outflow,Axis - Sales Collection Account,Overtime Payments,FOOD-30941F74,workforce
2026-01-23,107924.81,outflow,HDFC - Operations Account,Factory Worker Payroll,FOOD-64726A11,workforce
2025-03-10,43557.4,outflow,HDFC - Operations Account,Overtime Payments,FOOD-7CC70EFC,workforce
2025-03-23,33281.19,outflow,SBI - Payroll Account,Factory Worker Payroll,FOOD-519B3368,workforce
2025-05-30,223008.67,inflow,ICICI - Procurement Account,Hotel Supply Invoice,FOOD-5EA581A0,client fees
2025-09-03,34160.68,outflow,SBI - Payroll Account,Water Treatment Charges,FOOD-8EE2582F,operational cost
2025-04-18,173187.57,outflow,Kotak - Vendor Payments,Cocoa Powder,FOOD-CBFFA715,raw materials
2025-12-10,78163.29,inflow,ICICI - Procurement Account,Bulk Buyer Payment,FOOD-449D5EA6,client fees
2025-09-19,304170.07,inflow,Kotak - Vendor Payments,Hotel Supply Invoice,FOOD-0C6A80EE,client fees
2025-03-25,56380.04,outflow,HDFC - Operations Account,Factory Worker Payroll,FOOD-6433C0F6,workforce
2025-07-08,32311.8,outflow,Axis - Sales Collection Account,Packaging Staff Payroll,FOOD-E057C1C3,workforce
2025-11-12,27686.14,outflow,ICICI - Procurement Account,Water Treatment Charges,FOOD-257BB4E7,operational cost
2025-11-28,95783.96,outflow,ICICI - Procurement Account,Line Supervisor Salary,FOOD-3B481A31,workforce
2025-07-03,128552.11,inflow,Axis - Sales Collection Account,Hotel Supply Invoice,FOOD-70BFD89D,client fees
2025-10-25,75729.42,outflow,Kotak - Vendor Payments,Refrigeration Maintenance,FOOD-DAD29660,operational cost
2025-06-24,88354.45,outflow,Axis - Sales Collection Account,Cold Chain Logistics,FOOD-5A49071E,operational cost
2025-10-07,19032.06,outflow,ICICI - Procurement Account,Equipment Maintenance,FOOD-DE5A1FDE,operational cost
